user_id,payment_ratio,overlimit_percentage,payment_ratio_3month,payment_ratio_6month,delinquency_score,years_since_card_issuing,total_usage,remaining_bill_per_number_of_cards,remaining_bill_per_limit,total_usage_per_limit,total_3mo_usage_per_limit,total_6mo_usage_per_limit,utilization_3month,utilization_6month
1,102.19,0.0,74.78,100.0,0.0,15.41666667,94.0,13161.5,0.003760429,1.34e-05,0.01171875,0.017809524,0.013228036,0.021949332999999998
2,0.0,0.0,0.0,0.0,,0.75,1012.0,0.0,0.0,0.00010120000000000001,0.0,0.0,0.004231625,0.0003
3,100.0,0.0,100.0,100.91,,10.75,0.0,0.0,0.0,0.0,0.040517857000000004,0.047703225999999994,0.249389277,0.267852798
4,100.0,0.0,25.01,22.64,0.0,19.75,2536660.0,145333.5,0.027682571,0.120793333,0.055970595,0.016850794,0.10191210699999999,0.346634603
5,95.99,0.0,97.49,99.84,,1.6666666669999999,2666558.0,2975932.5,0.5951865,0.2666558,0.323027,0.131162467,0.707865025,0.336571367
6,0.0,0.0,28.46,42.03,,10.25,3690250.0,2306717.5,0.057667937999999995,0.046128125,0.017184375,0.117513096,0.038963606,0.18186342100000003
7,18.47,0.0,24.95,17.89,,4.666666667,230400.0,1657023.0,0.8285115,0.0576,0.01875,0.16666666800000002,1.014775813,0.977230833
8,58.55,0.0,105.24,166.67,,0.75,9327612.0,1970267.25,0.39405345,0.4663806,0.2392893,0.24159869399999997,0.261753338,0.22402625
9,15.24,0.0,0.0,33.33,0.0,5.666666667,335680.0,2061212.5,0.824485,0.067136,0.19604205,0.0,0.47002435,0.0
10,100.0,0.0,58.4,62.68,,8.5,0.0,406946.5,0.232540857,0.0,0.075,0.094800619,0.315145179,0.6264479039999999
11,100.0,0.0,100.0,100.0,,14.5,31036235.0,0.0,0.0,0.36947898799999995,0.164046339,0.19530254,0.39665598799999996,0.23033644399999997
12,100.13,0.0,74.99,18.52,,10.66666667,0.0,0.0,0.0,0.0,0.057634076,0.0,0.342642826,0.497703464
13,30.8,0.0,68.4,100.0,0.0,20.83333333,2878725.0,2247210.5,0.499380111,0.319858333,0.09842719400000001,0.297481481,0.402411556,0.46713437
14,0.0,10.02,13.04,26.66,0.0,1.0,0.0,2466024.333,1.056867571,0.0,0.067480357,0.079714286,1.039140607,0.9294158570000001
15,17.53,23.26,29.47,24.24,,6.666666667,326100.0,2756589.0,1.1813952859999999,0.046585714,0.250685714,0.23931904699999998,1.163175571,1.416155476
16,0.0,0.0,65.25,100.0,0.0,2.0,722.0,0.0,0.0,0.00024066700000000002,0.016566,0.0,0.02255475,0.016172
17,99.9,0.0,75.01,74.41,,11.58333333,3101354.0,0.0,0.0,0.03101354,0.0,0.212714983,0.388039143,0.48633924700000003
18,20.97,19.54,18.29,13.26,0.0,2.916666667,380000.0,1967589.0,1.1805534,0.076,0.137606,0.112229534,1.0560083,0.8936248
19,9.17,6.21,7.43,14.26,0.0,2.833333333,0.0,2655277.5,1.062111,0.0,0.02369,0.2685276,0.98835345,0.9642601999999999
20,100.0,0.0,100.0,100.0,,2.75,457725.0,0.0,0.0,0.11443125,0.140283438,0.0415,0.13060025,0.076377
